#CHROM	POS	CONTEXT	Watson-METH	Watson-COVERAGE	Watson-QUAL	Crick-METH	Crick-COVERAGE	Crick-QUAL
chr1	39558940	CG	52	61	34	75	98	33
chr1	39558960	CG	48	70	32	93	116	33
chr1	39558984	CG	100	115	33	138	188	33
chr1	39559036	CG	141	187	33	165	260	33
chr1	39559103	CG	230	325	33	185	263	33
chr1	39559199	CG	215	310	33	189	339	33
chr1	39559221	CG	204	297	34	194	349	33
chr1	39559230	CG	204	301	33	195	360	33
chr1	39559261	CG	162	260	33	167	307	33
chr1	39559276	CG	151	256	33	175	305	33
chr1	39559299	CG	123	235	33	139	273	33
chr1	39559318	CG	142	244	33	157	287	33
chr1	39559383	CG	160	314	33	168	317	33
chr1	39559387	CG	173	331	33	172	317	33
chr1	39559401	CG	168	315	33	169	299	33
chr1	39559406	CG	169	331	33	176	313	33
chr1	39559417	CG	178	340	33	190	310	33
chr1	39559498	CG	225	384	33	257	426	33
chr1	39559504	CG	243	399	33	273	463	33
chr1	39559537	CG	232	371	33	219	391	33
chr1	39559553	CG	267	422	33	231	407	33
chr1	39559560	CG	255	404	33	221	405	33
chr1	39559602	CG	205	328	33	263	486	33
chr1	39559650	CG	187	324	33	210	373	33
chr1	39559653	CG	188	326	33	225	379	33
chr1	39559657	CG	182	319	33	219	375	33
chr1	39559674	CG	158	288	33	193	343	33
chr1	39559680	CG	140	258	33	196	343	33
chr1	39559683	CG	150	268	33	191	351	33
chr1	39559691	CG	144	258	33	198	347	33
chr1	39559696	CG	132	246	33	185	330	33
chr1	39559712	CG	121	221	33	142	271	33
chr1	39559739	CG	123	220	33	123	207	33
chr1	39559743	CG	113	218	33	125	236	33
chr1	39559811	CG	42	60	33	46	82	33
chr1	39559819	CG	51	69	33	73	82	33
chr1	39559827	CG	56	69	34	78	89	34
chr1	39559849	CG	74	87	33	80	94	34
chr1	39559851	CG	69	82	33	75	85	34
chr1	39559857	CG	61	80	33	67	82	34
chr1	39559874	CG	57	68	33	66	69	33
chr1	39559889	CG	40	54	34	46	49	33
chr1	68046745	CG	63	68	33	52	67	33
chr1	68046772	CG	88	91	33	80	85	34
chr1	68046788	CG	79	102	34	77	109	33
chr1	68046822	CG	75	131	33	89	157	33
chr1	68046856	CG	93	242	33	95	211	33
chr1	68046961	CG	216	372	33	185	327	33
chr1	68046967	CG	220	372	33	197	332	33
chr1	68046975	CG	199	403	33	174	324	33
chr1	68046985	CG	209	417	33	146	300	33
chr1	68046990	CG	244	429	33	173	307	33
chr1	68047000	CG	230	423	33	153	301	33
chr1	68047002	CG	244	422	33	162	305	33
chr1	68047009	CG	223	410	33	168	307	33
chr1	68047012	CG	215	405	33	164	306	33
chr1	68047027	CG	192	361	33	143	279	33
chr1	68047051	CG	148	318	33	132	297	34
chr1	68047094	CG	182	356	33	152	329	33
chr1	68047110	CG	208	376	33	168	348	33
chr1	68047120	CG	207	360	33	176	372	33
chr1	68047124	CG	205	366	33	175	375	33
chr1	68047142	CG	176	328	33	174	371	33
chr1	68047162	CG	172	313	33	157	339	33
chr1	68047168	CG	174	321	33	160	328	33
chr1	68047177	CG	184	342	33	173	331	33
chr1	68047180	CG	189	334	33	157	313	33
chr1	68047182	CG	191	327	33	164	318	33
chr1	68047216	CG	201	206	33	170	323	33
chr1	68047218	CG	214	371	33	162	323	33
chr1	68047234	CG	205	346	33	148	289	33
chr1	68047245	CG	198	352	33	152	280	33
chr1	68047251	CG	190	353	33	151	281	33
chr1	68047288	CG	141	306	33	143	275	33
chr1	68047298	CG	147	299	33	153	280	33
chr1	68047308	CG	152	285	33	151	273	33
chr1	68047321	CG	145	282	33	147	289	33
chr1	68047380	CG	118	278	33	97	246	33
chr1	68047475	CG	148	250	33	176	316	33
chr1	68047494	CG	139	265	33	158	307	33
chr1	68047535	CG	100	195	33	150	253	33
chr1	68047685	CG	107	140	33	209	239	33
chr1	68047799	CG	103	137	33	134	165	33
chr1	68047802	CG	86	126	33	102	155	33
chr1	68049750	CG	74	112	33	93	153	33
chr1	68049754	CG	87	119	34	105	159	33
chr1	68049808	CG	142	187	33	147	221	33
chr1	68049855	CG	200	227	33	249	294	33
chr1	68049858	CG	160	234	33	209	287	33
chr1	68049907	CG	160	318	33	139	250	33
chr1	68050055	CG	149	320	33	146	335	33
chr1	68050068	CG	160	325	33	172	342	33
chr1	68050072	CG	162	326	33	175	353	33
chr1	68050076	CG	187	346	33	197	372	33
chr1	68050091	CG	170	325	33	198	372	33
chr1	68050094	CG	184	323	33	208	375	33
chr1	68050105	CG	185	326	33	215	369	33
chr1	68050135	CG	175	346	33	184	376	33
chr1	68050173	CG	167	327	33	187	370	33
chr1	68050189	CG	110	273	33	155	350	33
chr1	68050255	CG	110	187	34	154	306	33
chr1	68050294	CG	119	188	33	185	329	33
chr1	68050312	CG	101	179	33	149	296	33
chr1	68050346	CG	111	218	33	125	300	33
chr1	68050387	CG	119	255	33	151	335	33
chr1	68050397	CG	135	262	33	154	327	33
chr1	68050410	CG	134	241	33	159	307	33
chr1	68050416	CG	137	249	33	152	295	33
chr1	68050418	CG	136	237	33	147	302	33
chr1	68050455	CG	133	264	33	141	319	33
chr1	68050474	CG	131	259	33	157	324	33
chr1	68050532	CG	131	282	33	158	330	33
chr1	68050554	CG	142	279	33	157	325	33
chr1	68050562	CG	147	302	33	148	328	33
chr1	68050589	CG	161	311	33	158	333	33
chr1	68050596	CG	156	295	33	158	336	33
chr1	68050608	CG	168	308	33	163	345	33
chr1	68050610	CG	168	317	33	162	344	33
chr1	68050646	CG	157	318	33	165	329	33
chr1	68050648	CG	155	314	33	163	331	33
chr1	68050661	CG	139	308	33	152	305	33
chr1	68050668	CG	155	318	33	148	302	33
chr1	68050678	CG	146	317	33	146	297	33
chr1	68050685	CG	154	321	33	143	299	33
chr1	68050691	CG	153	326	33	136	286	33
chr1	68050722	CG	166	349	33	146	289	33
chr1	68050728	CG	164	346	33	154	302	33
chr1	68050735	CG	166	357	33	151	299	33
chr1	68050770	CG	165	328	33	149	316	33
chr1	68050777	CG	172	329	33	145	301	33
chr1	68050780	CG	174	330	33	152	309	33
chr1	68050782	CG	167	332	33	151	311	33
chr1	68050789	CG	167	339	33	145	300	33
chr1	68050809	CG	152	313	33	150	305	33
chr1	68050835	CG	171	329	33	156	300	33
chr1	68050925	CG	110	198	33	126	268	33
chr1	68050944	CG	111	199	34	124	251	33
chr1	68051030	CG	87	141	33	104	190	33
chr1	68051080	CG	94	165	33	94	152	33
chr1	68051097	CG	96	176	33	85	133	33
chr1	68051169	CG	98	181	33	74	117	33
chr1	68051239	CG	70	145	33	62	118	33
chr1	68051460	CG	118	271	33	127	268	33
chr1	68051469	CG	136	276	33	150	303	33
chr1	68051479	CG	173	286	33	198	317	33
chr1	68051494	CG	170	288	33	185	332	33
chr1	68051522	CG	143	299	34	160	343	33
chr1	68051544	CG	207	336	33	205	363	33
chr1	68051572	CG	181	339	33	200	432	33
chr1	68051575	CG	181	336	33	209	430	33
chr1	68051583	CG	172	346	33	198	427	33
chr1	68051590	CG	193	362	33	213	427	33
chr1	68051598	CG	185	375	33	196	435	33
chr1	68051604	CG	200	380	33	219	426	33
